Wl (nm),  MAC (m2 g-1)
350.000,  0.15061
351.000,  0.14556
352.000,  0.14060
353.000,  0.13584
354.000,  0.13133
355.000,  0.12688
356.000,  0.12253
357.000,  0.11829
358.000,  0.11424
359.000,  0.11027
360.000,  0.10642
361.000,  0.10280
362.000,  0.09928
363.000,  0.09570
364.000,  0.09233
365.000,  0.08922
366.000,  0.08613
367.000,  0.08301
368.000,  0.08012
369.000,  0.07737
370.000,  0.07476
371.000,  0.07220
372.000,  0.06964
373.000,  0.06719
374.000,  0.06487
375.000,  0.06279
376.000,  0.06062
377.000,  0.05857
378.000,  0.05657
379.000,  0.05472
380.000,  0.05290
381.000,  0.05111
382.000,  0.04947
383.000,  0.04796
384.000,  0.04633
385.000,  0.04482
386.000,  0.04344
387.000,  0.04218
388.000,  0.04079
389.000,  0.03951
390.000,  0.03830
391.000,  0.03718
392.000,  0.03611
393.000,  0.03505
394.000,  0.03400
395.000,  0.03299
396.000,  0.03204
397.000,  0.03124
398.000,  0.03032
399.000,  0.02951
400.000,  0.02867
401.000,  0.02794
402.000,  0.02726
403.000,  0.02647
404.000,  0.02577
405.000,  0.02520
406.000,  0.02463
407.000,  0.02390
408.000,  0.02330
409.000,  0.02282
410.000,  0.02231
411.000,  0.02171
412.000,  0.02125
413.000,  0.02077
414.000,  0.02030
415.000,  0.01988
416.000,  0.01944
417.000,  0.01901
418.000,  0.01860
419.000,  0.01818
420.000,  0.01791
421.000,  0.01750
422.000,  0.01717
423.000,  0.01681
424.000,  0.01646
425.000,  0.01615
426.000,  0.01585
427.000,  0.01553
428.000,  0.01523
429.000,  0.01499
430.000,  0.01475
431.000,  0.01442
432.000,  0.01416
433.000,  0.01396
434.000,  0.01374
435.000,  0.01344
436.000,  0.01324
437.000,  0.01299
438.000,  0.01279
439.000,  0.01258
440.000,  0.01239
441.000,  0.01220
442.000,  0.01198
443.000,  0.01177
444.000,  0.01158
445.000,  0.01144
446.000,  0.01124
447.000,  0.01109
448.000,  0.01090
449.000,  0.01074
450.000,  0.01059
451.000,  0.01043
452.000,  0.01025
453.000,  0.01009
454.000,  0.00998
455.000,  0.00987
456.000,  0.00965
457.000,  0.00951
458.000,  0.00940
459.000,  0.00931
460.000,  0.00917
461.000,  0.00901
462.000,  0.00888
463.000,  0.00878
464.000,  0.00864
465.000,  0.00853
466.000,  0.00841
467.000,  0.00832
468.000,  0.00820
469.000,  0.00806
470.000,  0.00795
471.000,  0.00788
472.000,  0.00775
473.000,  0.00767
474.000,  0.00757
475.000,  0.00745
476.000,  0.00736
477.000,  0.00730
478.000,  0.00716
479.000,  0.00707
480.000,  0.00699
481.000,  0.00690
482.000,  0.00682
483.000,  0.00671
484.000,  0.00661
485.000,  0.00654
486.000,  0.00649
487.000,  0.00641
488.000,  0.00629
489.000,  0.00622
490.000,  0.00615
491.000,  0.00607
492.000,  0.00599
493.000,  0.00593
494.000,  0.00587
495.000,  0.00580
496.000,  0.00570
